distance_km,time_left_minutes,will_be_late
8.27,23.6,1
19.61,35.8,1
18.69,25.1,1
0.82,81.2,0
6.91,88.9,0
10.3,53.9,0
10.1,20.9,1
9.74,83.4,0
4.32,56.0,0
7.09,65.5,0
3.0,32.1,0
10.35,83.6,0
5.33,28.2,0
8.84,57.3,0
4.08,87.9,0
18.15,31.7,1
14.41,43.3,1
16.26,45.3,1
0.6,45.6,0
13.32,77.3,0
17.1,23.9,1
3.95,61.9,0
11.21,83.2,0
0.97,37.6,0
19.45,38.9,1
1.2,21.1,0
9.71,21.8,1
7.73,61.3,0
15.14,27.2,1
19.24,69.7,1
14.19,7.4,1
16.98,58.6,1
15.35,53.0,1
4.05,83.6,0
1.74,65.2,0
17.44,14.9,1
18.13,5.6,1
11.36,22.2,1
6.56,88.6,0
2.14,18.7,0
0.74,31.7,0
2.76,82.9,0
4.92,40.8,0
3.25,27.1,0
17.88,6.6,1
9.75,15.6,1
2.83,34.1,0
13.6,64.3,0
18.83,20.0,1
8.37,72.7,0
10.42,17.1,1
16.3,29.4,1
8.15,79.9,0
14.28,41.9,1
12.85,14.2,1
12.65,28.2,1
14.77,20.9,1
11.31,29.2,1
3.96,44.1,0
19.72,17.5,1
11.78,77.0,0
17.06,35.2,1
7.31,83.5,0
10.13,60.0,0
1.6,38.5,0
11.72,71.4,0
13.84,29.2,1
11.88,24.8,1
14.07,47.5,1
7.8,20.2,1
6.43,10.5,1
16.28,38.6,1
10.53,72.3,0
17.9,16.2,1
17.18,6.7,1
17.49,88.7,0
15.34,50.7,1
14.11,10.2,1
6.54,84.5,0
7.64,48.6,0
13.02,68.7,0
3.23,52.2,0
3.46,68.7,0
1.5,86.6,0
6.58,58.4,0
4.96,66.0,0
18.48,16.5,1
0.71,81.4,0
16.8,54.7,1
11.68,8.5,1
15.23,77.9,0
19.75,28.9,1
11.75,17.7,1
9.64,54.6,0
6.76,73.6,0
6.24,11.0,1
17.33,78.5,0
6.09,13.9,1
19.26,42.9,1
2.32,18.8,0
0.99,61.2,0
4.05,36.1,0
13.52,92.6,0
13.04,59.3,0
2.34,70.9,0
14.66,88.9,0
5.78,39.2,0
18.57,14.6,1
2.48,89.1,0
19.53,85.3,0
18.1,53.8,1
4.83,78.3,0
1.6,48.2,0
16.38,49.7,1
19.99,49.6,1
2.71,76.8,0
8.09,67.3,0
2.6,48.3,0
14.65,18.9,1
12.93,30.2,1
8.59,12.8,1
12.43,21.6,1
18.84,6.2,1
12.33,43.2,1
15.05,74.1,0
9.39,60.6,0
5.18,89.4,0
6.0,67.0,0
16.14,19.5,1
14.07,44.3,1
16.31,84.0,0
4.25,72.5,0
10.49,16.5,1
12.35,69.2,0
10.86,7.4,1
4.1,49.9,0
3.68,87.3,0
12.77,75.8,0
19.93,12.3,1
5.96,77.0,0
5.41,32.1,0
2.8,35.1,0
6.44,52.9,0
17.28,76.6,0
1.09,70.0,0
19.29,50.2,1
18.07,47.1,1
1.95,21.8,0
13.16,93.6,0
1.41,27.7,0
6.2,38.3,0
15.06,40.9,1
1.94,40.8,0
14.89,7.0,1
5.91,59.7,0
4.96,27.9,0
13.34,20.8,1
15.9,31.8,1
12.05,8.3,1
16.01,28.3,1
2.41,56.9,0
17.81,81.0,0
1.63,23.6,0
8.64,19.8,1
18.82,57.8,1
11.2,93.6,0
3.22,23.8,0
1.06,84.3,0
15.17,8.1,1
12.17,13.0,1
14.2,21.4,1
18.97,60.4,1
4.37,85.7,0
4.94,56.7,0
11.3,66.2,0
9.39,89.8,0
19.33,14.6,1
2.03,29.1,0
3.88,63.6,0
3.83,85.6,0
14.31,67.1,0
0.68,71.3,0
7.48,84.1,0
6.7,11.0,1
5.55,15.8,1
13.97,25.6,1
3.16,35.2,0
2.84,64.9,0
0.64,23.1,0
11.04,21.3,1
15.71,88.0,0
12.59,63.5,0
15.14,90.5,0
12.83,33.1,1
2.09,33.4,0
2.67,94.8,0
19.1,64.7,1
9.44,27.1,1
3.37,75.2,0
7.34,19.5,1
5.13,85.5,0
2.47,15.9,0
7.49,92.3,0
1.94,39.6,0
18.0,57.8,1
17.99,9.1,1
13.85,94.5,0
11.62,55.8,0
13.17,9.9,1
15.53,15.3,1
2.65,71.7,0
19.73,36.5,1
12.85,27.4,1
5.36,94.1,0
13.71,15.0,1
12.6,7.6,1
7.82,6.8,1
10.69,31.0,1
4.14,91.9,0
16.44,57.5,1
17.61,36.1,1
5.67,53.4,0
16.02,25.0,1
6.84,55.1,0
11.92,9.2,1
12.49,74.8,0
12.0,78.6,0
